20703,50802,'Half',,1,40,,529,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,15:10.0,'F',,0,0,,,,,,,,0,,
20704,50803,'Hold',,1,40,,529,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,15:10.0,'F',,0,0,,,,,,,,0,,
20705,50801,'Horseradish',,1,40,,529,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,15:10.1,'F',,0,0,,,,,,,,0,,
20706,50804,'Hot',,1,40,,529,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,15:10.1,'F',,0,0,,,,,,,,0,,
20801,50900,'== I PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,15:10.3,'F',,0,0,,,,,,,,0,,
20901,51000,'== J PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:24.0,'F',,0,0,,,,,,,,0,,
20902,51001,'Jalps',,1,40,,531,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:24.0,'F',,0,0,,,,,,,,0,,
21001,51100,'== K PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:24.3,'F',,0,0,,,,,,,,0,,
21002,51101,'Ketchup',,1,40,,532,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:24.4,'F',,0,0,,,,,,,,0,,
21101,51200,'== L PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:24.7,'F',,0,0,,,,,,,,0,,
21102,51201,'Light',,1,40,,533,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:24.7,'F',,0,0,,,,,,,,0,,
21103,51202,'Lemon',,1,40,,533,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:24.7,'F',,0,0,,,,,,,,0,,
21104,51203,'Lettuce',,1,40,,533,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:24.8,'F',,0,0,,,,,,,,0,,
21201,51300,'== M PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:25.1,'F',,0,0,,,,,,,,0,,
21205,51303,'Milds',,1,40,,534,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.2,'F',,0,0,,,,,,,,0,,
21207,51304,'Mayo',,1,40,,534,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.2,'F',,0,0,,,,,,,,0,,
21208,51301,'Mushroom',,1,40,,534,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.2,'F',,0,0,,,,,,,,0,,
21209,51302,'**','MESSAGE',1,40,,534,,,,,,,'F','F','F','F','F','F','F','F',67,33,,,,,55,45,,,,,,,,,8,07:26.8,'F',,0,0,,,,,,,,0,,
21301,51400,'== N PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:25.4,'F',,0,0,,,,,,,,0,,
21302,51401,'No',,1,40,,535,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.5,'F',,0,0,,,,,,,,0,,
21401,51500,'== O PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:25.8,'F',,0,0,,,,,,,,0,,
21403,51502,'Olive Oil',,1,40,,537,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.8,'F',,0,0,,,,,,,,0,,
21404,51503,'Onion',,1,40,,537,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.9,'F',,0,0,,,,,,,,0,,
21405,51501,'On Side',,1,40,,537,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:25.9,'F',,0,0,,,,,,,,0,,
21501,51600,'== P PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:26.2,'F',,0,0,,,,,,,,0,,
21502,51601,'Parm',,1,40,,538,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:26.2,'F',,0,0,,,,,,,,0,,
21504,51604,'Plain',,1,40,,538,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:26.2,'F',,0,0,,,,,,,,0,,
21505,51605,'Potato',,1,40,,538,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:26.3,'F',,0,0,,,,,,,,0,,
21506,51603,'Pepperoni',,1,40,,538,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:26.3,'F',,0,0,,,,,,,,0,,
21601,51700,'== Q PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,21:26.7,'F',,0,0,,,,,,,,0,,
21602,51701,'Quail Egg',,1,40,,539,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,21:26.7,'F',,0,0,,,,,,,,0,,
21701,51800,'== R  PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,29:33.2,'F',,0,0,,,,,,,,0,,
21704,51801,'Red Pepper',,1,40,,540,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,29:33.3,'F',,0,0,,,,,,,,0,,
21801,51900,'== S PREPS ==',,,,,,,,,,,,'F','F','F','F','F','F','F','F',,,,,,,,,,,,,,,,,8,29:33.7,'F',,0,0,,,,,,,,0,,
21803,51902,'See Sever',,1,40,,541,,,,,,,'F','F','F','F','F','F','F','F',23,33,,,,,55,45,,,,,,,,,8,29:33.7,'F',,0,0,,,,,,,,0,,
21804,51903,'SOS',,1,40,,541,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,29:33.7,'F',,0,0,,,,,,,,0,,
21805,51904,'Soup',,1,40,,541,,,,,,,'F','F','F','F','F','F','F','F',23,32,,,,,55,45,,,,,,,,,8,29:33.8,'F',,0,0,,,,,,,,0,,
